VD,North,East
1860107,6585870,683938
1860108,6585230,677884
1860109,6584820,678159
1860110,6584390,677523
1860111,6584910,679114
1860112,6583610,677782
1860113,6583330,678336
1860114,6583800,678708
1860115,6583610,679256
1860116,6582900,678430
1860117,6582660,678941
1860118,6583390,679656
1860119,6582250,680127
1860120,6581120,680336
1860121,6582600,681804
1860122,6583170,683226
1860123,6584450,683496
1860124,6584230,681893
1860125,6583890,683135
1860126,6582440,679418
1150101,6604140,670634
1150102,6612950,675570
1150103,6606730,673119
1150104,6604860,673699
1150105,6607250,675747
1150106,6605130,676659
1150107,6603820,673282
1150108,6603460,673787
1150109,6603600,674550
1150110,6601820,673243
1150111,6602520,675961
1150112,6605430,680954
1150113,6600970,672506
1150114,6601210,673788
1150115,6600590,676410
1150116,6609560,687558
1150117,6616880,684865
1170201,6598430,686706
1170202,6598590,687193
1170203,6597320,688435
1170204,6598850,687490
1170205,6597290,686898
1170206,6596120,687596
1170207,6595480,690425
1170208,6597840,689356
1170209,6602050,685963
1170210,6599920,688031
1170211,6600110,685921
1170212,6605220,696908
1170214,6595160,681101
1170215,6599120,686415
1170216,6599530,689541
1170217,6595900,685539
1170219,6597430,693431
1170220,6597950,687469
1170221,6599130,683536
1170222,6598720,685954
1170313,6601590,710518
1600101,6598930,671528
1600102,6599960,673562
1600103,6599810,674595
1600104,6599110,673679
1600105,6595690,670926
1600106,6596520,672194
1600107,6596670,673441
1600108,6595260,672872
1600109,6593550,670758
1600110,6594190,672108
1600111,6594840,673879
1600112,6594250,674334
1600113,6593100,671155
1600114,6593130,672011
1600115,6593740,673147
1600116,6593080,672981
1600117,6593400,673978
1600118,6592740,673775
1600119,6591940,673549
1600120,6596850,677070
1600121,6598010,675263
1600122,6596090,675492
1600123,6595590,674612
1600124,6595500,675462
1600125,6594100,674804
1600126,6594840,675307
1600127,6592860,674062
1600128,6593400,674796
1600129,6593920,675669
1600130,6594360,676201
1600131,6594220,677077
1600132,6591780,674295
1600133,6592680,674885
1600134,6592170,675327
1600135,6591940,676418
1600136,6592910,676742
1600137,6592980,677719
1600138,6591160,675780
1620101,6592350,672708
1620102,6590380,670445
1620103,6588820,671769
1620104,6587750,672076
1620105,6588290,672595
1620106,6589270,672198
1620107,6587880,672995
1620108,6589140,670879
1620109,6590910,671900
1620110,6588990,676076
1620111,6587870,675486
1620112,6590230,673350
1620113,6586250,675055
1620114,6587440,673666
1620115,6590190,675141
1620116,6588040,674096
1620117,6588900,673626
1620118,6586480,673652
1620119,6587030,672770
1620120,6592220,671252
1870101,6587000,692285
1870102,6589760,689398
1870103,6589520,683800
1870104,6592170,688379
1870105,6592610,690481
1870106,6589980,692930
1880101,6629650,708746
1880102,6628920,707624
1880103,6629340,706040
1880104,6630370,706967
1880105,6630760,707681
1880106,6630760,708917
1880107,6631330,710526
1880108,6632170,709307
1880109,6631650,708503
1880110,6631010,706444
1880111,6630080,707906
1880112,6630740,708385
1880113,6632040,707620
1880201,6645510,724560
1880301,6678480,707128
1880302,6653750,710855
1880501,6662280,701083
1880502,6663500,700233
1880503,6668820,703849
1880504,6659960,704489
1880601,6658140,697276
1880801,6644510,693145
1880901,6634030,683901
1881001,6627830,687518
1881002,6626880,687383
1881003,6630250,691434
1881004,6628150,689345
1881101,6624250,695100
1881401,6625420,679300
1881601,6635140,698447
1881801,6637430,704157
1881901,6646330,707306
1882001,6640120,713961
1882101,6637770,722851
1882201,6626390,737307
1882301,6625250,712435
1882302,6629360,714144
1882401,6608880,737103
1882501,6615170,706956
1882502,6620360,709246
1882601,6614300,697430
1630110,6596760,664527
1630111,6597210,663071
1630112,6596330,664959
1630113,6597510,665087
1630114,6598210,665787
1630115,6597450,666089
1630121,6594500,662924
1630122,6595590,663423
1630123,6595310,664576
1630131,6595380,665400
1630132,6594210,665630
1630141,6596330,666989
1630142,6594190,667175
1630151,6593770,666437
1630152,6593060,666057
1630153,6592940,666893
1630154,6592090,667476
1630161,6593360,668347
